district,listing_id,price,rooms,bedrooms,area_sqm,price_per_sqm,district_number,housing_type
Lyon 8,1289975342,350000,4,2,80.0,4375.0,8,T4+
Lyon 8,1286966657,370000,4,3,90.0,4111.111111111111,8,T4+
Lyon 8,1286966653,440000,4,3,99.0,4444.444444444444,8,T4+
Lyon 8,1289136751,480000,4,2,89.0,5393.258426966292,8,T4+
Lyon 8,1288779145,250000,3,2,63.0,3968.253968253968,8,T3
Lyon 8,1289953018,300000,3,2,72.0,4166.666666666667,8,T3
Lyon 8,1289952420,580000,5,3,160.0,3625.0,8,T4+
Lyon 8,1288088239,177000,4,2,70.0,2528.5714285714284,8,T4+
Lyon 8,1289135764,315000,4,3,81.0,3888.8888888888887,8,T4+
Lyon 8,1289944318,340000,5,3,102.0,3333.3333333333335,8,T4+
Lyon 8,1288933433,310000,5,3,112.0,2767.8571428571427,8,T4+
Lyon 8,1289943545,340000,5,3,103.0,3300.970873786408,8,T4+
Lyon 8,1289909144,199000,2,1,54.0,3685.185185185185,8,T2
Lyon 8,1289900928,189000,3,2,73.0,2589.041095890411,8,T3
Lyon 8,1289898945,500000,4,3,120.0,4166.666666666667,8,T4+
Lyon 8,1289898941,265000,4,3,72.0,3680.5555555555557,8,T4+
Lyon 8,1289896332,167000,4,3,68.0,2455.8823529411766,8,T4+
Lyon 8,1289879147,289000,3,2,55.0,5254.545454545455,8,T3
Lyon 8,1289868962,220000,4,2,76.0,2894.7368421052633,8,T4+
Lyon 8,1288979225,178000,5,4,88.0,2022.7272727272727,8,T4+
Lyon 8,1288724406,180000,3,1,48.0,3750.0,8,T3
Lyon 8,1288656549,159000,2,1,39.0,4076.923076923077,8,T2
Lyon 8,1289860025,270000,4,3,81.0,3333.3333333333335,8,T4+
Lyon 8,1288569062,270000,5,4,82.0,3292.682926829268,8,T4+
Lyon 8,1288670339,199000,3,2,70.0,2842.8571428571427,8,T3
Lyon 8,1287811230,119900,2,1,43.0,2788.3720930232557,8,T2
Lyon 8,1289859978,270000,4,3,81.0,3333.3333333333335,8,T4+
Lyon 8,1289857036,215000,3,2,68.0,3161.764705882353,8,T3
Lyon 8,1286510592,665000,4,3,86.0,7732.558139534884,8,T4+
Lyon 8,1286510591,690000,4,3,88.0,7840.909090909091,8,T4+
Lyon 8,1289378263,230000,4,2,67.0,3432.8358208955224,8,T4+
Lyon 8,1289166507,548000,5,3,93.0,5892.4731182795695,8,T4+
Lyon 8,1289828467,299900,4,2,100.0,2999.0,8,T4+
Lyon 8,1289808533,100000,1,1,18.0,5555.555555555556,8,Studio/T1
Lyon 8,1289808521,100000,1,1,18.0,5555.555555555556,8,Studio/T1
Lyon 8,1289808513,100000,1,1,18.0,5555.555555555556,8,Studio/T1
Lyon 8,1289808511,100000,1,1,18.0,5555.555555555556,8,Studio/T1
Lyon 8,1289806729,245000,3,2,65.0,3769.230769230769,8,T3
Lyon 8,1288670593,475000,4,3,79.0,6012.658227848101,8,T4+
Lyon 8,1289776786,195000,3,2,72.0,2708.3333333333335,8,T3
Lyon 8,1289776787,225000,3,1,70.0,3214.285714285714,8,T3
Lyon 8,1289767269,640000,5,3,122.0,5245.901639344263,8,T4+
Lyon 8,1289767266,549000,5,3,125.0,4392.0,8,T4+
Lyon 8,1289765562,379000,3,2,74.0,5121.621621621622,8,T3
Lyon 8,1288557086,175000,3,2,67.0,2611.9402985074626,8,T3
Lyon 8,1290147180,264000,2,1,45.0,5866.666666666667,8,T2
Lyon 8,1289715206,205000,3,2,74.0,2770.2702702702704,8,T3
Lyon 8,1288540523,284000,4,3,90.0,3155.5555555555557,8,T4+
Lyon 8,1289706785,280000,4,3,115.0,2434.782608695652,8,T4+
Lyon 8,1288573396,185000,4,2,90.0,2055.5555555555557,8,T4+
Lyon 8,1289689418,223000,4,3,89.0,2505.61797752809,8,T4+
Lyon 8,1289694820,178000,2,1,41.0,4341.463414634146,8,T2
Lyon 8,1287339045,535000,4,3,133.0,4022.5563909774437,8,T4+
